MEMID,ED4A
011001003,Lower Secondary
011002001,Upper Secondary
011002002,Upper Secondary
011002003,Upper Secondary
011002004,Primary
011003001,Lower Secondary
011003002,College/University and above
011003003,Preschool
011003004,
011003005,Primary
011003006,Primary
011004001,Lower Secondary
011004002,Upper Secondary
011004003,Upper Secondary
011004004,College/University and above
011004005,Lower Secondary
011004006,Primary
011005001,Lower Secondary
011005002,Lower Secondary
011006001,College/University and above
011006002,College/University and above
011006003,Preschool
011007001,College/University and above
011008001,Lower Secondary
011008002,Primary
011009001,Professional School
011009002,Professional School
011010001,Lower Secondary
011010002,Lower Secondary
011011001,Lower Secondary
011011002,Lower Secondary
011012001,Upper Secondary
011012002,
011013001,
011013002,Lower Secondary
011013003,Lower Secondary
011014001,Lower Secondary
011014002,Professional School
011015001,Lower Secondary
011015002,Lower Secondary
011015003,Primary
011015004,Preschool
011016001,Lower Secondary
011016002,Lower Secondary
011016003,Primary
011017001,Upper Secondary
011017002,Upper Secondary
011017003,Primary
011017004,
011017005,Lower Secondary
011018001,Lower Secondary
011018002,Upper Secondary
011018003,Upper Secondary
011018004,Professional School
011018005,Primary
011018006,
011019001,College/University and above
011019002,College/University and above
011019003,Preschool
012001001,College/University and above
012001002,College/University and above
012001003,College/University and above
012002001,College/University and above
012002002,College/University and above
012003001,College/University and above
012003002,Upper Secondary
012003003,College/University and above
012003004,Upper Secondary
012003005,
012004001,Upper Secondary
012004002,College/University and above
012004003,Primary
012005001,College/University and above
012005002,Professional School
012006001,Lower Secondary
012006002,Lower Secondary
012006003,College/University and above
012006004,College/University and above
012007001,Upper Secondary
012007002,Lower Secondary
012007003,Upper Secondary
012007004,Lower Secondary
012007005,Primary
012008001,Lower Secondary
012008002,Upper Secondary
012008003,Upper Secondary
012008004,Lower Secondary
012009001,Upper Secondary
012009002,Professional School
012009003,Professional School
012009004,Lower Secondary
012010001,Upper Secondary
012010002,Upper Secondary
012010003,Professional School
012010004,Lower Secondary
012010005,Lower Secondary
012011001,Upper Secondary
012011002,Upper Secondary
012011003,
012011004,
012011005,Upper Secondary
012012001,College/University and above
012012002,Professional School
012012003,College/University and above
012012004,Primary
012013001,Upper Secondary
012013002,Upper Secondary
012013003,Upper Secondary
012013004,Primary
012014001,Lower Secondary
012014002,Upper Secondary
012014003,Preschool
012015001,Lower Secondary
012015002,College/University and above
012016001,Professional School
012016002,Professional School
012016003,Upper Secondary
012016004,Upper Secondary
012016005,College/University and above
012016006,Lower Secondary
012016007,Lower Secondary
012016008,
012017001,College/University and above
012017002,College/University and above
012017003,Primary
012017004,
012017005,Lower Secondary
012018001,Upper Secondary
012018002,Lower Secondary
012018003,Lower Secondary
012018004,Primary
012019001,Lower Secondary
012019002,Lower Secondary
012019003,Upper Secondary
012019004,Primary
012020001,Upper Secondary
012020002,Upper Secondary
012020003,
013001001,College/University and above
013001002,College/University and above
013002001,College/University and above
013002002,College/University and above
013003001,Lower Secondary
013004001,College/University and above
013004002,College/University and above
013005001,College/University and above
013005002,College/University and above
013005003,Lower Secondary
013005004,Primary
013006001,Lower Secondary
013006002,Lower Secondary
013006003,College/University and above
013006004,Lower Secondary
013007001,Upper Secondary
013007002,Upper Secondary
013007003,Primary
013007004,Primary
013008001,College/University and above
013008002,Professional School
013008003,College/University and above
013008004,
013008005,College/University and above
013008006,College/University and above
013009001,Lower Secondary
013009002,Lower Secondary
013009003,College/University and above
013009004,Upper Secondary
013009005,DK
013010001,Primary
013010002,College/University and above
013010003,College/University and above
013011001,Professional School
013011002,Professional School
013011003,Primary
013011004,Lower Secondary
013012001,College/University and above
013012002,Upper Secondary
013012003,Upper Secondary
013013001,College/University and above
013013002,College/University and above
013013003,
013013004,
013014001,Upper Secondary
013014002,Professional School
013014003,College/University and above
013015001,College/University and above
013015002,College/University and above
013015003,Primary
013015004,Upper Secondary
013015005,Upper Secondary
013016001,College/University and above
013016002,College/University and above
013016003,Primary
013016004,
013017001,Upper Secondary
013017002,Lower Secondary
013018001,Professional School
013018002,College/University and above
013018003,College/University and above
013018004,Lower Secondary
013019001,Upper Secondary
013019002,Upper Secondary
013019003,College/University and above
013019004,Professional School
013019005,College/University and above
013019006,Professional School
013019007,
013020001,Upper Secondary
013020002,College/University and above
013020003,College/University and above
013020004,College/University and above
014001001,Lower Secondary
014001002,Upper Secondary
014001003,College/University and above
014001004,College/University and above
014001005,College/University and above
014002001,College/University and above
014002002,College/University and above
014003001,College/University and above
014003002,College/University and above
014004001,Upper Secondary
014004002,College/University and above
014004003,College/University and above
014004004,College/University and above
014004005,Primary
014005001,Lower Secondary
014005002,Upper Secondary
014005003,Upper Secondary
014005004,Lower Secondary
014006001,College/University and above
014006002,College/University and above
014006003,Primary
014006004,
014006005,College/University and above
014006006,College/University and above
014007001,College/University and above
014007002,College/University and above
014007003,College/University and above
014007004,Upper Secondary
014008001,College/University and above
014008002,College/University and above
014009001,Upper Secondary
014009002,College/University and above
014009003,College/University and above
014009004,Upper Secondary
014009005,Upper Secondary
014009006,
014009007,
014010001,Lower Secondary
014010002,Lower Secondary
014010003,
014010004,College/University and above
014010005,Lower Secondary
014011001,Lower Secondary
014011002,Upper Secondary
014011003,College/University and above
014011004,Primary
014013001,Professional School
014013002,Upper Secondary
014013003,Professional School
014013004,
014014001,College/University and above
014014002,College/University and above
014014003,College/University and above
014014004,College/University and above
014014005,
014014006,
014015001,College/University and above
014015002,Lower Secondary
014015003,College/University and above
014015004,College/University and above
014015005,
014016001,College/University and above
014016002,College/University and above
014017001,College/University and above
014017002,College/University and above
014018001,Primary
014018002,College/University and above
014018003,College/University and above
014019001,College/University and above
014020001,College/University and above
014020002,College/University and above
014020003,College/University and above
014020004,College/University and above
014020005,
015001001,Primary
015001002,Professional School
015001003,Upper Secondary
015001004,
015002001,Lower Secondary
015002002,Lower Secondary
015002003,Upper Secondary
015002004,Upper Secondary
015002005,Upper Secondary
015002006,Upper Secondary
015002007,
015003001,Upper Secondary
015003002,Upper Secondary
015003003,Upper Secondary
015003004,Primary
015004001,Lower Secondary
015004002,Primary
015005001,Upper Secondary
015005002,Upper Secondary
015005003,College/University and above
015005004,Professional School
015006001,Lower Secondary
015006002,Lower Secondary
015006003,Lower Secondary
015006004,Primary
015006005,
015006006,Upper Secondary
015007001,Lower Secondary
015007002,Primary
015007003,Preschool
015008001,Lower Secondary
015008002,Lower Secondary
015008003,Upper Secondary
015008004,Upper Secondary
015009001,Lower Secondary
015009002,Lower Secondary
015009003,Lower Secondary
015009004,Primary
015010001,College/University and above
015010002,Primary
015011001,Lower Secondary
015011002,Lower Secondary
015011003,Primary
015011004,Primary
015011005,
015012001,Primary
015012002,Primary
015012003,College/University and above
015012004,Professional School
015013001,Upper Secondary
015013002,Lower Secondary
015013003,Upper Secondary
015013004,Upper Secondary
015013005,Lower Secondary
015013006,Lower Secondary
015013007,Primary
015014001,Lower Secondary
015014002,Primary
015014003,Lower Secondary
015014004,Lower Secondary
015014005,
015014006,
015014007,Lower Secondary
015014008,Lower Secondary
015015001,Upper Secondary
015015002,Lower Secondary
015015003,Professional School
015015004,Upper Secondary
015015005,Primary
