HHID,ethnicity_hh
053004,Kinh and Hoa
053005,Kinh and Hoa
053006,
053007,Kinh and Hoa
053008,Kinh and Hoa
053009,Kinh and Hoa
053010,Kinh and Hoa
053011,Kinh and Hoa
053012,Kinh and Hoa
053013,Kinh and Hoa
053014,Kinh and Hoa
053015,Kinh and Hoa
053016,Kinh and Hoa
053017,Kinh and Hoa
053018,Kinh and Hoa
053019,Kinh and Hoa
053020,Kinh and Hoa
054001,Kinh and Hoa
054002,Kinh and Hoa
054003,Kinh and Hoa
054004,Kinh and Hoa
054005,Kinh and Hoa
054006,Kinh and Hoa
054007,Kinh and Hoa
054008,Kinh and Hoa
054009,Kinh and Hoa
054010,Kinh and Hoa
054011,Kinh and Hoa
054012,Kinh and Hoa
054013,Kinh and Hoa
054014,Kinh and Hoa
054015,Kinh and Hoa
054016,Kinh and Hoa
054017,Kinh and Hoa
054018,Kinh and Hoa
054019,Kinh and Hoa
054020,Kinh and Hoa
055001,Kinh and Hoa
055002,Kinh and Hoa
055003,Kinh and Hoa
055004,Kinh and Hoa
055005,
055006,Kinh and Hoa
055007,Kinh and Hoa
055008,Kinh and Hoa
055009,Kinh and Hoa
055010,Kinh and Hoa
055011,Kinh and Hoa
055012,Kinh and Hoa
055013,Kinh and Hoa
055014,Kinh and Hoa
055015,Kinh and Hoa
055016,Kinh and Hoa
055017,Kinh and Hoa
055018,Kinh and Hoa
055019,Kinh and Hoa
055020,Kinh and Hoa
056001,Kinh and Hoa
056002,Kinh and Hoa
056003,Kinh and Hoa
056004,Kinh and Hoa
056005,Kinh and Hoa
056006,Kinh and Hoa
056007,Kinh and Hoa
056008,Kinh and Hoa
056009,Kinh and Hoa
056010,Kinh and Hoa
056011,Kinh and Hoa
056012,Kinh and Hoa
056013,Kinh and Hoa
056014,Kinh and Hoa
056015,Kinh and Hoa
056016,Kinh and Hoa
056017,Kinh and Hoa
056018,Kinh and Hoa
056019,Kinh and Hoa
056020,Kinh and Hoa
057001,Kinh and Hoa
057002,Kinh and Hoa
057003,Kinh and Hoa
057004,
057005,Kinh and Hoa
057006,Kinh and Hoa
057007,Kinh and Hoa
057008,Kinh and Hoa
057009,Kinh and Hoa
057010,
057011,Kinh and Hoa
057012,Kinh and Hoa
057013,Kinh and Hoa
057014,Kinh and Hoa
057015,Kinh and Hoa
