HHID,HHAGE,HHSEX
052011,43.0,Male
052012,83.0,Female
052013,31.0,Male
052014,39.0,Male
052015,38.0,Male
052016,29.0,Male
052017,61.0,Male
052018,40.0,Male
052019,58.0,Male
052020,61.0,Female
053001,38.0,Female
053002,34.0,Male
053003,46.0,Male
053004,37.0,Female
053005,42.0,Male
053007,40.0,Male
053008,39.0,Male
053009,42.0,Male
053010,58.0,Female
053011,74.0,Male
053012,37.0,Male
053013,72.0,Female
053014,62.0,Female
053015,58.0,Male
053016,49.0,Male
053017,36.0,Male
053018,47.0,Male
053019,43.0,Male
053020,37.0,Male
054001,80.0,Male
054002,48.0,Male
054003,54.0,Male
054004,70.0,Male
054005,48.0,Male
054006,41.0,Male
054007,37.0,Male
054008,42.0,Female
054009,46.0,Male
054010,26.0,Male
054011,53.0,Male
054012,69.0,Female
054013,46.0,Male
054014,37.0,Male
054015,37.0,Female
054016,45.0,Male
054017,36.0,Male
054018,52.0,Male
054019,37.0,Male
054020,54.0,Male
055001,68.0,Male
055002,69.0,Female
055003,35.0,Male
055004,60.0,Male
055006,58.0,Female
055007,66.0,Female
055008,86.0,Male
055009,45.0,Male
055010,38.0,Male
055011,60.0,Male
055012,73.0,Male
055013,78.0,Female
055014,72.0,Male
055015,82.0,Female
055016,72.0,Female
055017,50.0,Male
055018,46.0,Male
055019,45.0,Male
055020,42.0,Male
056001,46.0,Male
056002,46.0,Male
056003,77.0,Male
056004,73.0,Male
056005,46.0,Male
056006,40.0,Male
056007,65.0,Male
056008,71.0,Male
056009,36.0,Male
056010,50.0,Male
056011,45.0,Male
056012,45.0,Male
056013,44.0,Male
056014,44.0,Male
056015,56.0,Female
056016,66.0,Female
056017,41.0,Male
056018,61.0,Male
056019,58.0,Male
056020,44.0,Male
057001,48.0,Male
057002,55.0,Male
057003,60.0,Male
057005,54.0,Male
057006,78.0,Male
057007,57.0,Male
057008,46.0,Female
057009,67.0,Male
057011,42.0,Male
057012,91.0,Male
057013,56.0,Male
057014,49.0,Male
057015,58.0,Male
057016,46.0,Male
057017,40.0,Male
057018,57.0,Male
057019,65.0,Male
057020,54.0,Male
058001,66.0,Male
058002,36.0,Male
058003,54.0,Male
058004,52.0,Male
058005,33.0,Male
058006,32.0,Male
058007,38.0,Male
058008,56.0,Male
058009,38.0,Male
058010,49.0,Male
058011,33.0,Male
058012,61.0,Male
058013,63.0,Male
058014,46.0,Male
058015,26.0,Male
058016,50.0,Male
058017,48.0,Male
058018,52.0,Male
058019,43.0,Male
058020,34.0,Male
059001,63.0,Male
059002,50.0,Male
059003,60.0,Male
059004,49.0,Male
059005,43.0,Male
059006,55.0,Male
059007,50.0,Male
059008,54.0,Male
059009,58.0,Female
059010,65.0,Female
059011,73.0,Male
059012,47.0,Male
059013,31.0,Male
059014,67.0,Male
059015,53.0,Male
059016,34.0,Male
059017,51.0,Male
059018,66.0,Female
059019,34.0,Female
059020,51.0,Female
060001,80.0,Male
060002,42.0,Male
060003,58.0,Male
060004,62.0,Male
060005,48.0,Female
060006,27.0,Male
060007,45.0,Male
060008,74.0,Male
060009,30.0,Male
060010,57.0,Male
060011,48.0,Female
060012,63.0,Female
060013,52.0,Male
060014,40.0,Female
060015,50.0,Male
060016,47.0,Male
060017,58.0,Male
060018,68.0,Female
060019,46.0,Male
060020,48.0,Male
061001,33.0,Male
061002,57.0,Male
061003,35.0,Male
061004,57.0,Male
061005,63.0,Male
061006,50.0,Male
061007,38.0,Male
061008,36.0,Male
061009,51.0,Male
061010,87.0,Male
061011,54.0,Female
061012,68.0,Male
061013,56.0,Male
061014,36.0,Female
061015,56.0,Male
061016,33.0,Male
061017,46.0,Male
061018,44.0,Female
061019,53.0,Female
061020,45.0,Female
062001,52.0,Male
062002,81.0,Male
062004,48.0,Male
062005,56.0,Male
062006,62.0,Male
062007,68.0,Male
062008,91.0,Female
062009,57.0,Male
062010,75.0,Male
062011,29.0,Male
062012,59.0,Male
062013,45.0,Female
062014,41.0,Female
062015,37.0,Male
062016,81.0,Male
062017,66.0,Male
062018,48.0,Male
062020,65.0,Female
063001,63.0,Female
063002,54.0,Male
063003,56.0,Male
063004,34.0,Male
063005,53.0,Male
063006,57.0,Male
063007,41.0,Male
063008,54.0,Male
063009,49.0,Male
063010,50.0,Male
063011,50.0,Male
063012,55.0,Male
063013,43.0,Male
063014,52.0,Male
063015,36.0,Male
063016,43.0,Male
063017,54.0,Male
063018,53.0,Male
063019,89.0,Male
063020,32.0,Male
064001,27.0,Male
064002,61.0,Male
064003,67.0,Male
064004,50.0,Male
064005,61.0,Male
064007,74.0,Female
064008,52.0,Female
064009,66.0,Male
064010,41.0,Male
064012,63.0,Male
064013,79.0,Female
064014,55.0,Male
064015,58.0,Male
064018,61.0,Male
064019,43.0,Male
064020,42.0,Female
065001,56.0,Female
065002,75.0,Male
065003,61.0,Female
065004,41.0,Male
065005,76.0,Male
065006,51.0,Male
065007,45.0,Male
065008,76.0,Male
065009,61.0,Male
065010,62.0,Male
065011,81.0,Male
065012,36.0,Female
065013,54.0,Male
065014,43.0,Male
065015,62.0,Female
065016,32.0,Female
065017,49.0,Male
065018,47.0,Male
065019,48.0,Male
065020,47.0,Male
066001,52.0,Male
066002,40.0,Female
066003,55.0,Male
066004,45.0,Male
066005,44.0,Male
066006,47.0,Male
066007,65.0,Female
066008,62.0,Male
066009,83.0,Male
066011,52.0,Female
066012,54.0,Male
066013,40.0,Male
066014,45.0,Female
066015,45.0,Male
066016,64.0,Male
066017,61.0,Male
066018,50.0,Male
066019,35.0,Male
066020,51.0,Male
067001,41.0,Male
067002,43.0,Male
067003,51.0,Male
067004,50.0,Male
067005,36.0,Male
067007,43.0,Male
067008,54.0,Male
067009,44.0,Male
067010,58.0,Female
067011,54.0,Male
067012,85.0,Female
067013,75.0,Female
067014,49.0,Male
067015,56.0,Male
067016,51.0,Male
067017,50.0,Male
067018,74.0,Male
067020,45.0,Male
068001,29.0,Female
068002,36.0,Male
068003,36.0,Male
068006,44.0,Male
068007,31.0,Male
068008,39.0,Male
068009,44.0,Male
068010,52.0,Male
068012,46.0,Male
068013,38.0,Female
068014,53.0,Male
068015,48.0,Male
068016,47.0,Male
068017,44.0,Male
068018,29.0,Male
068019,25.0,Male
068020,23.0,Male
069001,44.0,Male
069002,44.0,Male
069003,68.0,Female
069004,24.0,Male
069005,35.0,Male
069006,46.0,Male
069007,35.0,Male
069008,39.0,Male
069009,66.0,Male
069010,38.0,Male
069011,33.0,Male
069012,41.0,Male
069013,56.0,Male
069014,34.0,Male
069015,35.0,Male
069016,43.0,Male
069017,29.0,Male
069018,50.0,Male
069019,28.0,Male
069020,22.0,Male
070001,48.0,Male
070002,58.0,Male
070003,35.0,Male
070005,35.0,Male
070007,58.0,Female
070008,26.0,Female
070009,35.0,Male
070010,24.0,Male
070011,38.0,Female
070012,59.0,Male
070013,24.0,Male
070014,43.0,Female
070015,48.0,Male
070016,58.0,Male
070017,53.0,Male
070018,70.0,Male
070019,32.0,Male
070020,35.0,Female
071001,56.0,Female
071002,31.0,Male
071003,38.0,Male
071004,33.0,Male
071005,32.0,Male
071006,50.0,Male
071007,69.0,Male
071008,29.0,Male
071009,39.0,Male
071010,43.0,Male
071011,38.0,Male
071012,54.0,Male
071013,33.0,Male
071014,47.0,Male
071015,41.0,Male
071016,32.0,Male
071017,30.0,Male
071018,33.0,Male
071019,39.0,Female
071020,28.0,Male
072001,62.0,Male
072002,36.0,Male
072003,45.0,Male
072004,35.0,Male
072005,30.0,Female
